N       Z             A0                         A1                         A2
90     62       -0.72507402217E+02         0.62858395941E+02          0.12618069863E-01
94     62       -0.90588155457E+02         0.79992000409E+02          0.11550156692E-01
66     50       -0.20960738332E+02         0.15541777468E+02          0.22624346370E-01
68     50       -0.24165121661E+02         0.18302392410E+02          0.21826134718E-01
70     50       -0.27618375550E+02         0.21297689577E+02          0.21103395575E-01
72     50       -0.31300504258E+02         0.24522395016E+02          0.20443925884E-01
74     50       -0.35244621512E+02         0.28001172230E+02          0.19833117909E-01
78     50       -0.43946363425E+02         0.35802280728E+02          0.18726260758E-01
80     50       -0.45928736630E+02         0.37567821054E+02          0.18676634264E-01
82     50       -0.50299842882E+02         0.41581117834E+02          0.18252788359E-01
48     38       -0.12121895462E+02         0.87303240210E+01          0.24513534317E-01
50     38       -0.14537117696E+02         0.10760301438E+02          0.23475570577E-01
52     38       -0.16922405775E+02         0.12665906514E+02          0.22872356179E-01
54     38       -0.19862687748E+02         0.15157498147E+02          0.22100913729E-01
58     38       -0.25178445668E+02         0.19676250645E+02          0.21130116030E-01
62     38       -0.31243072135E+02         0.25026306543E+02          0.20241296409E-01
70     52       -0.37019284421E+02         0.30247716041E+02          0.15893094054E-01
72     52       -0.42879380413E+02         0.35597267889E+02          0.15105733242E-01
74     52       -0.49277730767E+02         0.41497079237E+02          0.14383938895E-01
76     52       -0.56109820558E+02         0.47845910952E+02          0.13740460875E-01
78     52       -0.64066135545E+02         0.55299417479E+02          0.13074892066E-01
80     52       -0.72382650271E+02         0.63167718928E+02          0.12490959561E-01
82     52       -0.76876351008E+02         0.67378613923E+02          0.12344981004E-01
28     22       -0.67315276997E+01         0.48488341591E+01          0.25202894184E-01
30     22       -0.89853313239E+01         0.66481279674E+01          0.23949751021E-01
34     22       -0.13097393284E+02         0.98978909805E+01          0.22827483406E-01
108    74       -0.57079728982E+02         0.45540170860E+02          0.18607231193E-01
112    74       -0.66601341693E+02         0.53782059391E+02          0.17876353607E-01
74     54       -0.43492754216E+02         0.36067682342E+02          0.15059947286E-01
76     54       -0.49971264746E+02         0.42064482127E+02          0.14319479110E-01
78     54       -0.57237922082E+02         0.48845937104E+02          0.13609823845E-01
80     54       -0.65298622636E+02         0.56446689747E+02          0.12933987364E-01
82     54       -0.74273315657E+02         0.64973881296E+02          0.12288945096E-01
86     54       -0.10064687684E+03         0.89857578106E+02          0.10800442852E-01
100    70       -0.81360799176E+02         0.70424264599E+02          0.12315119900E-01
102    70       -0.90424906514E+02         0.78928586016E+02          0.11800826717E-01
106    70       -0.11072930443E+03         0.98114783151E+02          0.10850468843E-01
36     30       -0.75395483692E+01         0.50591066622E+01          0.26431096162E-01
38     30       -0.95725239010E+01         0.67646733201E+01          0.24982402780E-01
42     30       -0.14523796184E+02         0.10978155575E+02          0.22699206932E-01
46     30       -0.20295271613E+02         0.16047820427E+02          0.20904637826E-01
50     40       -0.12358254941E+02         0.88962040090E+01          0.24534177423E-01
52     40       -0.14642214135E+02         0.10651395317E+02          0.23814384650E-01
54     40       -0.17235508827E+02         0.12817116970E+02          0.22989538257E-01
56     40       -0.20001295587E+02         0.15190053147E+02          0.22250274587E-01
58     40       -0.22819543199E+02         0.17653470152E+02          0.21609461906E-01
62     40       -0.28246334183E+02         0.22264691804E+02          0.20786068679E-01


























