j = 1/2+    -53.5511
     1.000       0.434063       0.083411
     1.100       0.412744       0.081019
     1.200       0.390080       0.078392
     1.300       0.366239       0.075537
     1.400       0.341393       0.072460
     1.500       0.315721       0.069175
     1.600       0.289403       0.065695
     1.700       0.262624       0.062039
     1.800       0.235566       0.058227
     1.900       0.208415       0.054283
     2.000       0.181350       0.050235
     2.100       0.154549       0.046112
     2.200       0.128186       0.041943
     2.300       0.102426       0.037762
     2.400       0.077429       0.033602
     2.500       0.053344       0.029496
     2.600       0.030310       0.025475
     2.700       0.008455       0.021572
     2.800      -0.012107       0.017817
     2.900      -0.031274       0.014236
     3.000      -0.048961       0.010854
     3.100      -0.065099       0.007693
     3.200      -0.079635       0.004769
     3.300      -0.092532       0.002098
     3.400      -0.103774      -0.000312
     3.500      -0.113360      -0.002455
     3.600      -0.121306      -0.004329
     3.700      -0.127646      -0.005935
     3.800      -0.132430      -0.007280
     3.900      -0.135721      -0.008373
     4.000      -0.137599      -0.009227
     4.100      -0.138154      -0.009854
     4.200      -0.137486      -0.010274
     4.300      -0.135703      -0.010503
     4.400      -0.132922      -0.010562
     4.500      -0.129262      -0.010472
     4.600      -0.124846      -0.010252
     4.700      -0.119795      -0.009924
     4.800      -0.114229      -0.009507
     4.900      -0.108267      -0.009021
     5.000      -0.102018      -0.008483
     5.100      -0.095590      -0.007910
     5.200      -0.089078      -0.007318
     5.300      -0.082571      -0.006719
     5.400      -0.076148      -0.006124
     5.500      -0.069877      -0.005545
     5.600      -0.063817      -0.004988
     5.700      -0.058015      -0.004459
     5.800      -0.052509      -0.003964
     5.900      -0.047328      -0.003506
     6.000      -0.042491      -0.003086
     6.100      -0.038009      -0.002706
     6.200      -0.033887      -0.002365
     6.300      -0.030120      -0.002061
     6.400      -0.026701      -0.001793
     6.500      -0.023617      -0.001559
     6.600      -0.020850      -0.001356
     6.700      -0.018382      -0.001182
     6.800      -0.016192      -0.001033
     6.900      -0.014255      -0.000905
     7.000      -0.012550      -0.000798
     7.100      -0.011053      -0.000707
     7.200      -0.009743      -0.000629
     7.300      -0.008597      -0.000564
     7.400      -0.007596      -0.000508
     7.500      -0.006721      -0.000460
     7.600      -0.005955      -0.000418
     7.700      -0.005283      -0.000381
     7.800      -0.004693      -0.000348
     7.900      -0.004171      -0.000318
     8.000      -0.003708      -0.000291
     8.100      -0.003296      -0.000265
     8.200      -0.002927      -0.000240
     8.300      -0.002596      -0.000217
     8.400      -0.002296      -0.000195
     8.500      -0.002025      -0.000174
     8.600      -0.001780      -0.000154
     8.700      -0.001556      -0.000135
     8.800      -0.001354      -0.000117
     8.900      -0.001170      -0.000101
     9.000      -0.001003      -0.000085
     9.100      -0.000853      -0.000071
     9.200      -0.000718      -0.000058
     9.300      -0.000597      -0.000046
     9.400      -0.000489      -0.000035
     9.500      -0.000394      -0.000026
     9.600      -0.000311      -0.000018
     9.700      -0.000238      -0.000011
     9.800      -0.000176      -0.000005
     9.900      -0.000123      -0.000000
    10.000      -0.000078       0.000004
    10.100      -0.000041       0.000007
    10.200      -0.000011       0.000009
    10.300       0.000013       0.000011
    10.400       0.000032       0.000013
    10.500       0.000046       0.000013
    10.600       0.000056       0.000014
    10.700       0.000063       0.000014
    10.800       0.000067       0.000013
    10.900       0.000069       0.000013
    11.000       0.000069       0.000012
    11.100       0.000067       0.000012
    11.200       0.000065       0.000011
    11.300       0.000061       0.000010
    11.400       0.000057       0.000009
    11.500       0.000053       0.000008
    11.600       0.000049       0.000007
    11.700       0.000044       0.000007
    11.800       0.000040       0.000006
    11.900       0.000036       0.000005
    12.000       0.000032       0.000005
    12.100       0.000028       0.000004
    12.200       0.000024       0.000003
