          A0                               A1                                  A2
    0.14657220293646633             -0.21539177195873288                8.84804406070989152E-006
  -20.388472699375171               18.843597767378888                  2.30081349002916351E-005
  919.18695769021429              -867.21942181014674                  -8.64303241817443169E-002
-2531.5860762570019               2456.9894927887749                    0.57085362851710653
    5.54741389961562748E-002        -5.55372843594273552E-002           1.57271232410498451E-007
    0.45634102289253081             -0.40322898980777355                9.41936189350004200E-007
  -14.743780566440259               14.801263780595082                  4.13330013134626363E-004
 -231.73152139575137               206.48503000389371                   7.24488824924251207E-002
   -1.36608181795949408E-003         1.25404880784569920E-003          -9.22023445570248625E-010
   -4.94353281407772325E-003         4.13030083873587583E-003          -5.56871329484297526E-009
    0.45074716984745217             -0.37593749423520895                2.39770985519197303E-006
   12.816772739718843              -11.723963558815417                  2.19379859313313717E-004
   -3.88163061992141391E-006         5.34767754181450287E-006          -2.93752710409224963E-009
   -9.31533356309681955E-006         1.93605323790555275E-005           5.33323217562928227E-009
   -9.34764721002953776E-003         8.17104980059854547E-003          -9.79880361275918074E-009
   -0.24174982249087437              0.20366960705866893                6.71632889180772962E-007
   -1.09965929034767236E-007         1.39118330298840815E-007           4.00416164720550189E-012
    1.04434856982980790E-006        -1.40493878781722276E-006           1.42124509490302165E-010
    2.95383162940336924E-004        -2.61305941615290168E-004          -5.91948717663577047E-009
   -5.01945240790724226E-004         5.81704327987324745E-004          -2.20768962188368346E-008
